10, 0.047, 25
11, 0.042, 30
12, 0.059, 36
13, 0.066, 42
14, 0.079, 49
15, 0.098, 56
16, 0.125, 64
17, 0.135, 72
18, 0.179, 81
19, 0.18, 90
20, 0.234, 100
21, 0.244, 110
22, 0.308, 121
23, 0.341, 132
24, 0.408, 144
25, 0.415, 156
26, 0.514, 169
27, 0.536, 182
28, 0.634, 196
29, 0.666, 210
30, 0.794, 225
31, 0.768, 240
32, 0.889, 256
33, 0.981, 272
34, 1.1, 289
35, 1.13, 306
36, 1.317, 324
37, 1.341, 342
38, 1.667, 361
39, 1.626, 380
40, 1.691, 400
41, 1.767, 420
42, 1.795, 441
43, 1.933, 462
44, 2.193, 484
45, 2.154, 506
46, 2.339, 529
47, 2.289, 552
48, 2.536, 576
49, 2.734, 600
50, 2.898, 625
51, 2.856, 650
52, 3.088, 676
53, 3.338, 702
54, 3.484, 729
55, 3.561, 756
56, 3.836, 784
57, 4.124, 812
58, 4.417, 841
59, 4.542, 870
60, 5.053, 900
61, 4.98, 930
62, 5.15, 961
63, 5.521, 992
64, 5.642, 1024
65, 7.872, 1056
66, 8.626, 1089
67, 8.625, 1122
68, 7.562, 1156
69, 7.901, 1190
70, 8.38, 1225
71, 8.196, 1260
72, 8.845, 1296
73, 9.364, 1332
74, 9.672, 1369
75, 10.438, 1406
76, 10.767, 1444
77, 11.535, 1482
78, 11.414, 1521
79, 10.403, 1560
80, 11.063, 1600
81, 11.311, 1640
82, 12.31, 1681
83, 12.212, 1722
84, 13.122, 1764
85, 13.808, 1806
86, 14.782, 1849
87, 15.078, 1892
88, 14.799, 1936
89, 16.213, 1980
90, 16.233, 2025
91, 16.076, 2070
92, 17.248, 2116
93, 17.585, 2162
94, 18.495, 2209
95, 18.703, 2256
96, 20.402, 2304
97, 23.202, 2352
98, 21.503, 2401
99, 21.748, 2450
