10, 0.654, 140
11, 0.894, 154
12, 1.037, 168
13, 1.121, 182
14, 1.228, 196
15, 1.794, 210
16, 1.657, 225
17, 1.969, 240
18, 2.063, 256
19, 2.218, 272
20, 2.577, 289
21, 2.67, 306
22, 2.999, 324
23, 3.246, 342
24, 3.64, 361
25, 3.822, 380
26, 4.229, 400
27, 4.481, 420
28, 5.087, 441
29, 5.277, 462
30, 6.34, 484
31, 5.994, 506
32, 7.09, 529
33, 7.142, 552
34, 9.267, 576
35, 9.268, 600
36, 8.991, 625
37, 9.329, 650
38, 10.972, 676
39, 10.567, 702
40, 11.793, 729
41, 11.421, 756
42, 12.955, 784
43, 12.989, 812
44, 14.134, 841
45, 14.617, 870
46, 15.453, 900
47, 17.63, 930
48, 17.859, 961
49, 18.85, 992
50, 19.823, 1024
51, 20.482, 1056
52, 22.041, 1089
53, 22.334, 1122
54, 24.044, 1156
55, 25.121, 1190
56, 29.66, 1225
57, 27.48, 1260
58, 29.607, 1296
59, 31.317, 1332
60, 31.886, 1369
61, 32.179, 1406
62, 39.312, 1444
63, 35.716, 1482
64, 37.776, 1521
65, 36.143, 1560
66, 38.412, 1600
67, 39.443, 1640
68, 43.07, 1681
69, 44.08, 1722
70, 45.21, 1764
71, 46.24, 1806
72, 50.012, 1849
73, 50.405, 1892
74, 52.131, 1936
75, 54.541, 1980
76, 57.103, 2025
77, 58.756, 2070
78, 59.961, 2116
79, 66.104, 2162
80, 66.41, 2209
81, 68.715, 2256
82, 70.297, 2304
83, 72.351, 2352
84, 74.479, 2401
85, 80.585, 2450
86, 79.746, 2500
87, 81.87, 2550
88, 85.445, 2601
89, 92.058, 2652
90, 90.709, 2704
91, 92.308, 2756
92, 96.155, 2809
93, 98.732, 2862
94, 106.084, 2916
95, 108.781, 2970
96, 112.526, 3025
97, 115.735, 3080
98, 110.504, 3136
99, 113.528, 3192
