10, 6.335, 90
11, 8.403, 100
12, 6.343, 110
13, 8.571, 121
14, 6.145, 132
15, 10.116, 144
16, 7.52, 156
17, 11.833, 169
18, 9.721, 182
19, 13.72, 196
20, 11.927, 210
21, 15.574, 225
22, 13.233, 240
23, 17.063, 256
24, 16.7, 272
25, 18.895, 289
26, 19.777, 306
27, 20.138, 324
28, 23.488, 342
29, 24.513, 361
30, 26.535, 380
31, 28.439, 400
32, 31.763, 420
33, 33.299, 441
34, 37.29, 462
35, 41.543, 484
36, 46.322, 506
37, 44.108, 529
38, 48.629, 552
39, 50.729, 576
40, 55.816, 600
41, 58.18, 625
42, 65.515, 650
43, 65.905, 676
44, 73.104, 702
45, 75.346, 729
46, 78.28, 756
47, 82.273, 784
48, 93.537, 812
49, 92.36, 841
50, 98.577, 870
51, 102.95, 900
52, 116.157, 930
53, 115, 961
54, 127.052, 992
55, 126.416, 1024
56, 138.152, 1056
57, 141.464, 1089
58, 150.601, 1122
59, 158.313, 1156
60, 163.325, 1190
61, 171.752, 1225
62, 183.542, 1260
63, 184.179, 1296
64, 197.034, 1332
65, 202.558, 1369
66, 218.601, 1406
67, 218.177, 1444
68, 232.938, 1482
69, 242.43, 1521
70, 239.375, 1560
71, 253.462, 1600
72, 264.74, 1640
73, 270.666, 1681
74, 290.778, 1722
75, 284.04, 1764
76, 302.492, 1806
77, 313.494, 1849
78, 330.024, 1892
79, 356.833, 1936
80, 353.756, 1980
81, 358.817, 2025
82, 386.392, 2070
83, 383.235, 2116
84, 405.492, 2162
85, 422.651, 2209
86, 435.306, 2256
87, 441.63, 2304
88, 474.979, 2352
89, 476.806, 2401
90, 498.902, 2450
91, 514.081, 2500
92, 534.191, 2550
93, 548.591, 2601
94, 586.635, 2652
95, 571.013, 2704
96, 620.905, 2756
97, 607.2, 2809
98, 643.24, 2862
99, 667.706, 2916
